,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_metric,param_n_neighbors,param_weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
45,0.0017271995544433593,0.005781030654907227,0.20455359041183446,1.0,minkowski,1,distance,"{'n_neighbors': 1, 'metric': 'minkowski', 'weights': 'distance'}",81,0.2088912724328127,1.0,0.09355985965621882,1.0,0.2571351105513574,1.0,0.24171298443307743,1.0,0.22146872498570613,1.0,0.00022721766419847084,0.00029940193177687774,0.05791404381361476,0.0
46,0.0017160415649414063,0.006175613403320313,0.3892945824087714,0.8036391339595468,minkowski,2,uniform,"{'n_neighbors': 2, 'metric': 'minkowski', 'weights': 'uniform'}",73,0.3882129720136622,0.8027453604927827,0.34642847163919344,0.8081573872165901,0.4141869140078366,0.8008296788890626,0.40476450864274194,0.8026111025089399,0.3928800457404231,0.8038521406903587,0.00021778597469549626,0.00039541681020541903,0.023282936545811674,0.0024579951923692465
47,0.0016948699951171875,0.0062225341796875,0.38619942680265595,1.0,minkowski,2,distance,"{'n_neighbors': 2, 'metric': 'minkowski', 'weights': 'distance'}",75,0.3847698958639537,1.0,0.3379759129451314,1.0,0.41246709354079447,1.0,0.4028477088131708,1.0,0.3929365228502295,1.0,0.00023539791605055159,0.0003602765671565794,0.025846063222058943,0.0
48,0.0016930103302001953,0.006441783905029297,0.4623996511753129,0.7349123662262471,minkowski,3,uniform,"{'n_neighbors': 3, 'metric': 'minkowski', 'weights': 'uniform'}",65,0.428139766343164,0.7317729568854021,0.45346555204149097,0.7376587080517192,0.49584703563765276,0.7339173057796521,0.47157699263629094,0.7358523169765963,0.46296890921796574,0.7353605434378665,0.00023112750083398103,0.0003336144210639132,0.022166790540929245,0.001973463957116867
49,0.0017132759094238281,0.006501007080078125,0.45959993855346326,1.0,minkowski,3,distance,"{'n_neighbors': 3, 'metric': 'minkowski', 'weights': 'distance'}",67,0.42971832137934074,1.0,0.44458682894973234,1.0,0.49444027480917807,1.0,0.46801769935525506,1.0,0.4612365682738103,1.0,0.00022765176765953516,0.00036940025297437775,0.021934861700423063,0.0
50,0.0016998291015625,0.006814813613891602,0.49579310458106773,0.6744241563502686,minkowski,5,uniform,"{'n_neighbors': 5, 'metric': 'minkowski', 'weights': 'uniform'}",60,0.4622525991962424,0.6801027391438859,0.5131926879665984,0.6702467517823749,0.5151367898124826,0.6702160381378522,0.4946426569077168,0.6690430922851864,0.49374078902229845,0.6825121604020443,0.00022800828211858476,0.0004083468330516963,0.019012757247666497,0.005688179504403044
51,0.001728200912475586,0.0069905281066894535,0.49586923960098916,1.0,minkowski,5,distance,"{'n_neighbors': 5, 'metric': 'minkowski', 'weights': 'distance'}",58,0.465036539233625,1.0,0.5069935864013033,1.0,0.518700859452105,1.0,0.4956280482470482,1.0,0.49298716467086445,1.0,0.00022167941527465458,0.0004575443388082589,0.017911191461626747,0.0
52,0.0016988754272460938,0.007189893722534179,0.5069918394074598,0.6401883898462245,minkowski,7,uniform,"{'n_neighbors': 7, 'metric': 'minkowski', 'weights': 'uniform'}",55,0.4803985369105497,0.6460227482618404,0.5223258164189885,0.6354494605160192,0.5283162372841664,0.638797780549793,0.5014005401233181,0.6441033225324013,0.5025180663002765,0.6365686373710683,0.00022715526281924723,0.00042714578119350797,0.017019646335842267,0.004167980073190473
53,0.001698780059814453,0.007279014587402344,0.5088745269539185,1.0,minkowski,7,distance,"{'n_neighbors': 7, 'metric': 'minkowski', 'weights': 'distance'}",53,0.48451267667117015,1.0,0.5205125681889922,1.0,0.5323507085474544,1.0,0.5039392696764214,1.0,0.5030574116855548,1.0,0.0002348971375473069,0.0004286073442036316,0.01636013722217213,0.0
54,0.0017177581787109375,0.0075814247131347655,0.5179100199849286,0.6180294096272871,minkowski,9,uniform,"{'n_neighbors': 9, 'metric': 'minkowski', 'weights': 'uniform'}",41,0.49056166977990634,0.6252967660854302,0.527113012152145,0.6148364097874464,0.5428515434690218,0.6162777522002852,0.5056341816479235,0.6177268567985728,0.5233896928756467,0.6160092632647012,0.0002320226797028948,0.00041316357333020355,0.01808551873372458,0.0037483476666109747
55,0.001708984375,0.007707405090332031,0.5199721699401687,1.0,minkowski,9,distance,"{'n_neighbors': 9, 'metric': 'minkowski', 'weights': 'distance'}",38,0.4939612207911519,1.0,0.5276361787895872,1.0,0.546567465870972,1.0,0.5092845795615253,1.0,0.5224114046876072,1.0,0.00023371972781975606,0.00043575884170332315,0.017679314054445047,0.0
56,0.00174407958984375,0.008200550079345703,0.5259024119814919,0.6077646986466977,minkowski,11,uniform,"{'n_neighbors': 11, 'metric': 'minkowski', 'weights': 'uniform'}",27,0.49889339048087744,0.612135514438136,0.5304843354153337,0.609681296484627,0.5533680056808062,0.6048269446699073,0.5142984642853445,0.6086606344564468,0.5324678640450977,0.6035191031843714,0.00026817134399356333,0.0003333313638506928,0.01834446436920134,0.0031697179113639013
57,0.0017291545867919923,0.008057832717895508,0.5278647253054142,1.0,minkowski,11,distance,"{'n_neighbors': 11, 'metric': 'minkowski', 'weights': 'distance'}",17,0.5020620731957455,1.0,0.5319730130352032,1.0,0.5564616743067575,1.0,0.5172336446903523,1.0,0.5315932212990125,1.0,0.0002243880659269796,0.0004403405658055474,0.018040853270103286,0.0
58,0.0017108917236328125,0.008271312713623047,0.5272874105178892,0.598107243437877,minkowski,13,uniform,"{'n_neighbors': 13, 'metric': 'minkowski', 'weights': 'uniform'}",20,0.5031765417608304,0.6011763958812346,0.5340873626046899,0.6010774192150874,0.5577522990475907,0.5920987491564712,0.5097930760786051,0.6029089503854581,0.5316277730977296,0.5932747025511336,0.00023626225002328495,0.0004410820934547578,0.0193936755594603,0.0044889527827830225
59,0.001730203628540039,0.008422374725341797,0.5298948172716171,1.0,minkowski,13,distance,"{'n_neighbors': 13, 'metric': 'minkowski', 'weights': 'distance'}",9,0.5064150525504469,1.0,0.5359920630051787,1.0,0.5606309557925842,1.0,0.5138713046667781,1.0,0.5325647103430977,1.0,0.00022029499983765972,0.0005135699121694196,0.018958202727513966,0.0
60,0.0017323493957519531,0.008625411987304687,0.5280497650593766,0.5889666340317322,minkowski,15,uniform,"{'n_neighbors': 15, 'metric': 'minkowski', 'weights': 'uniform'}",15,0.49894555576832234,0.5970200305876491,0.5349703285524612,0.588953785820695,0.5679984412414093,0.5799021488567475,0.5038759682563854,0.5928572198010997,0.534458531478305,0.5860999850924693,0.00023219462891938998,0.0003919482113304985,0.02496513835371599,0.005837406725947406
